date	New_Diagnostic_Prevalence	Infected
20140701	0.041025642	0.09641026
20140702	0.037968189	0.09594664
20140703	0.037968189	0.094407387
20140704	0.035420943	0.093429156
20140705	0.034411915	0.092963532
20140706	0.036503855	0.093059123
20140707	0.036998972	0.092497431
20140708	0.03697997	0.092449926
20140709	0.038520802	0.091936313
20140710	0.035457347	0.091983557
20140711	0.038540594	0.091983557
20140712	0.035457347	0.090955809
20140713	0.032904886	0.088946015
20140714	0.033436213	0.088477366
20140715	0.033436213	0.08744856
20140716	0.033950616	0.08744856
20140717	0.03292181	0.08744856
20140718	0.029820051	0.086375318
20140719	0.032407407	0.085390948
20140720	0.028836252	0.085478887
20140721	0.029881505	0.085522927
20140722	0.030396704	0.084492527
20140723	0.0314271	0.083977334
20140724	0.029881505	0.083462134
20140725	0.029366305	0.082431734
20140726	0.029366305	0.08037094
20140727	0.028851107	0.08037094
20140728	0.034553893	0.080453843
20140729	0.02886598	0.079896905
20140730	0.027835052	0.079896905
20140731	0.032474227	0.079381444
20140801	0.031443298	0.079381444
20140802	0.025257733	0.079381444
20140803	0.02886598	0.079381444
20140804	0.024742268	0.078865983
20140805	0.024239298	0.078390926
20140806	0.028335908	0.078310147
20140807	0.026804123	0.077835053
20140808	0.030911902	0.076764554
20140809	0.028335908	0.076249354
20140810	0.028851107	0.075734161
20140811	0.025759917	0.075734161
20140812	0.028851107	0.075734161
20140813	0.025244718	0.075218961
20140814	0.030911902	0.075218961
20140815	0.026261587	0.074665293
20140816	0.028335908	0.073673368
20140817	0.02628866	0.072680414
20140818	0.027835052	0.072164945
20140819	0.026275115	0.072127767
20140820	0.026776519	0.071575694
20140821	0.022657055	0.071575694
20140822	0.025746653	0.07054583
20140823	0.025231719	0.070030898
20140824	0.025746653	0.069001026
20140825	0.024716787	0.069001026
20140826	0.025231719	0.068486094
20140827	0.025218735	0.066906847
20140828	0.028306741	0.066392176
20140829	0.022645393	0.066392176
20140830	0.023160061	0.065877512
20140831	0.02367473	0.066392176
20140901	0.022130726	0.066392176
20140902	0.022645393	0.066392176
20140903	0.020092735	0.065430194
20140904	0.022164948	0.065463915
20140905	0.016477859	0.064366631
20140906	0.021627188	0.063336767
20140907	0.021627188	0.063336767
20140908	0.020586722	0.063818835
20140909	0.021616058	0.065362841
20140910	0.019567456	0.064881563
20140911	0.022142122	0.064881563
20140912	0.021123132	0.064914994
20140913	0.019577537	0.065430194
20140914	0.022153528	0.064914994
20140915	0.022680413	0.064432986
20140916	0.022164948	0.064948454
20140917	0.021144921	0.064466223
20140918	0.022692109	0.063434757
20140919	0.02166065	0.063434757
20140920	0.022692109	0.063434757
20140921	0.021144921	0.063434757
20140922	0.022692109	0.063434757
20140923	0.023723569	0.063434757
20140924	0.02166065	0.063434757
20140925	0.024755029	0.062403299
20140926	0.021144921	0.062403299
20140927	0.019082	0.062403299
20140928	0.018566271	0.062403299
20140929	0.023723569	0.061371841
20140930	0.022692109	0.061371841
20141001	0.022176379	0.061371841
20141002	0.022176379	0.061371841
20141003	0.02166065	0.06188757
20141004	0.019082	0.06188757
20141005	0.024755029	0.06188757
20141006	0.019597732	0.061371841
20141007	0.02166065	0.060856111
20141008	0.021671826	0.060887512
20141009	0.019607844	0.060371518
20141010	0.018059855	0.059855521
20141011	0.02115583	0.058307532
20141012	0.020639835	0.05882353
20141013	0.019607844	0.058307532
20141014	0.019607844	0.058307532
20141015	0.020661157	0.05836777
20141016	0.016520392	0.058337636
20141017	0.0196281	0.05836777
20141018	0.018595042	0.058884297
20141019	0.020671835	0.058914728
20141020	0.019121448	0.058914728
20141021	0.016528925	0.059400827
20141022	0.01600413	0.060402684
20141023	0.019101704	0.060402684
20141024	0.01806918	0.061435208
20141025	0.017552916	0.063500255
20141026	0.020650491	0.064016521
20141027	0.01806918	0.065049045
20141028	0.020134227	0.066597834
20141029	0.02115583	0.066047475
20141030	0.019091846	0.066047475
20141031	0.022176379	0.067044869
20141101	0.019597732	0.069107786
20141102	0.021144921	0.070654973
20141103	0.022176379	0.074780814
20141104	0.022692109	0.075812273
20141105	0.018050542	0.07735946
20141106	0.021144921	0.080453843
20141107	0.020618556	0.080412373
20141108	0.023195876	0.079896905
20141109	0.022703819	0.08255934
20141110	0.025799794	0.083075337
20141111	0.027333677	0.083548218
20141112	0.025786487	0.085095413
20141113	0.030428056	0.08715833
20141114	0.024755029	0.08715833
20141115	0.025786487	0.088705517
20141116	0.027849406	0.089221247
20141117	0.029396595	0.089221247
20141118	0.034055728	0.088751286
20141119	0.03250774	0.089267284
20141120	0.036119711	0.088235296
20141121	0.03709428	0.08706852
20141122	0.04070067	0.088098921
20141123	0.035033487	0.08706852
20141124	0.031942297	0.086038128
20141125	0.03451829	0.087583721
20141126	0.03451829	0.08655332
20141127	0.033487894	0.085522927
20141128	0.030396704	0.084492527
20141129	0.03400309	0.084492527
20141130	0.029881505	0.083977334
20141201	0.029366305	0.08088614
20141202	0.014447885	0.079463363
20141203	0.011874032	0.076406814
20141204	0.013939081	0.073825501
20141205	0.012906557	0.073309243
20141206	0.010841507	0.070727929
20141207	0.011357769	0.068146616
