date	New Diagnostic Prevalence	Infected
20131231	0.023424428	0.046291132
20140101	0.023982152	0.046291132
20140102	0.022866704	0.046291132
20140103	0.025097601	0.046291132
20140104	0.022866704	0.046291132
20140105	0.023424428	0.046848856
20140106	0.021751255	0.04740658
20140107	0.022866704	0.04740658
20140108	0.02119353	0.048522029
20140109	0.020078082	0.048522029
20140110	0.018952062	0.048494983
20140111	0.018394649	0.049052399
20140112	0.020624302	0.049052399
20140113	0.022296544	0.049052399
20140114	0.022296544	0.04960981
20140115	0.020066889	0.04960981
20140116	0.020612814	0.051253483
20140117	0.020066889	0.051839463
20140118	0.022284122	0.051253483
20140119	0.021714922	0.051224943
20140120	0.022828508	0.051224943
20140121	0.021158129	0.051224943
20140122	0.021158129	0.051781736
20140123	0.023942094	0.054008909
20140124	0.020601336	0.052895322
20140125	0.022271715	0.052338529
20140126	0.021158129	0.052895322
20140127	0.022828508	0.053452116
20140128	0.018930959	0.053452116
20140129	0.023385301	0.053452116
20140130	0.022828508	0.055122495
20140131	0.020601336	0.054565702
20140201	0.025612472	0.054008909
20140202	0.025055679	0.053452116
20140203	0.025055679	0.052895322
20140204	0.025612472	0.054008909
20140205	0.022271715	0.053452116
20140206	0.022271715	0.052895322
20140207	0.022271715	0.052338529
20140208	0.021714922	0.051781736
20140209	0.01948775	0.051781736
20140210	0.023942094	0.051781736
20140211	0.022271715	0.05066815
20140212	0.021702837	0.050639957
20140213	0.025041737	0.050083473
20140214	0.024498885	0.049554564
20140215	0.025055679	0.049554564
20140216	0.023942094	0.049554564
20140217	0.025055679	0.049554564
20140218	0.023928771	0.049526989
20140219	0.025598219	0.048414022
20140220	0.026711185	0.048414022
20140221	0.027267668	0.048414022
20140222	0.025583982	0.048387095
20140223	0.02669633	0.047830924
20140224	0.026140155	0.047830924
20140225	0.023915462	0.047830924
20140226	0.025598219	0.049526989
20140227	0.025041737	0.048414022
20140228	0.022815805	0.048414022
20140301	0.023359288	0.049499445
20140302	0.025027808	0.050055616
20140303	0.024471635	0.049499445
20140304	0.024471635	0.049499445
20140305	0.023359288	0.04894327
20140306	0.022234574	0.048360199
20140307	0.019455252	0.048360199
20140308	0.020022247	0.047830924
20140309	0.020022247	0.04727475
20140310	0.016685206	0.046718575
20140311	0.016146993	0.046770602
20140312	0.014476615	0.046770602
20140313	0.015025042	0.046744574
20140314	0.015572859	0.046162404
20140315	0.013904338	0.04727475
20140316	0.014460512	0.046162404
20140317	0.0189099	0.045606229
20140318	0.015572859	0.045050055
20140319	0.016129032	0.045050055
20140320	0.0189099	0.045050055
20140321	0.017797552	0.045050055
20140322	0.017241379	0.045050055
20140323	0.015555556	0.045000002
20140324	0.018343525	0.045025013
20140325	0.018353727	0.045050055
20140326	0.019476905	0.045075126
20140327	0.021702837	0.04563161
20140328	0.019476905	0.04563161
20140329	0.020589871	0.04563161
20140330	0.020589871	0.04563161
20140331	0.020033389	0.046744574
20140401	0.017807458	0.04618809
20140402	0.017250974	0.04618809
20140403	0.013912076	0.046744574
20140404	0.014460512	0.046718575
20140405	0.016129032	0.050055616
20140406	0.015572859	0.05061179
20140407	0.016685206	0.051167965
20140408	0.016129032	0.05172414
20140409	0.018343525	0.050027791
20140410	0.018343525	0.050027791
20140411	0.018343525	0.04947193
20140412	0.017222222	0.050000001
20140413	0.018323153	0.049972236
20140414	0.019422863	0.048834629
20140415	0.02108768	0.048834629
20140416	0.017758047	0.048279688
20140417	0.017203107	0.048834629
20140418	0.019422863	0.048279688
20140419	0.018312985	0.04772475
20140420	0.018867925	0.047169812
20140421	0.02108768	0.047169812
20140422	0.019977802	0.046059933
20140423	0.022185247	0.046034388
20140424	0.022739878	0.045479756
20140425	0.022185247	0.045479756
20140426	0.019412091	0.045479756
20140427	0.020521354	0.044925123
20140428	0.019412091	0.044925123
20140429	0.021630615	0.044925123
20140430	0.019412091	0.045479756
20140501	0.022185247	0.044370495
20140502	0.017748198	0.044370495
20140503	0.01885746	0.04326123
20140504	0.01885746	0.042706601
20140505	0.020521354	0.042706601
20140506	0.019966722	0.042706601
20140507	0.018867925	0.042730298
20140508	0.019977802	0.041620422
20140509	0.017758047	0.041620422
20140510	0.019422863	0.041620422
20140511	0.018323153	0.041088283
20140512	0.021099389	0.041088283
20140513	0.020544142	0.041088283
20140514	0.021099389	0.042198777
20140515	0.020544142	0.042198777
20140516	0.02108768	0.041620422
