yr,mon,mal_cc
2014,1,7
2014,3,92
2014,3,69
2014,3,79
2014,3,70
2014,4,96
2014,4,69
2014,4,243
2014,4,203
2014,5,166
2014,5,153
2014,1,16
2014,5,62
2014,5,39
2014,6,18
2014,6,26
2014,6,15
2014,6,1
2014,6,7
2014,7,4
2014,7,2
2014,7,1
2014,1,21
2014,7,0
2014,8,1
2014,8,1
2014,8,1
2014,8,4
2014,9,5
2014,9,9
2014,9,23
2014,9,11
2014,9,4
2014,1,43
2014,10,10
2014,10,7
2014,10,4
2014,10,1
2014,11,9
2014,11,3
2014,11,4
2014,11,1
2014,12,2
2014,12,8
2014,1,62
2014,12,7
2014,12,7
2014,12,8
2014,2,39
2014,2,54
2014,2,64
2014,2,62
2015,1,3
2015,3,12
2015,3,35
2015,3,27
2015,3,20
2015,4,15
2015,4,10
2015,4,40
2015,4,7
2015,5,23
2015,5,10
2015,1,23
2015,5,13
2015,5,19
2015,6,14
2015,6,11
2015,6,7
2015,6,8
2015,6,9
2015,7,6
2015,7,8
2015,7,5
2015,1,42
2015,7,11
2015,8,7
2015,8,7
2015,8,9
2015,8,2
2015,9,4
2015,9,5
2015,9,0
2015,9,7
2015,9,2
2015,1,27
2015,10,3
2015,10,0
2015,10,1
2015,10,0
2015,11,0
2015,11,1
2015,11,3
2015,11,1
2015,12,1
2015,12,2
2015,1,26
2015,12,0
2015,12,2
2015,12,1
2015,,1
2015,2,33
2015,2,33
2015,2,38
2015,2,30
