yr,mon,week,yearwk,us,hfca,mal_notest_a_chw,mal_notest_a_hf,mal_notest_b_chw,mal_notest_b_hf,mal_htz_a_chw,mal_htz_a_hf,mal_htz_b_chw,mal_htz_b_hf,mal_rdt_a_chw,mal_rdt_a_hf,mal_rdt_b_chw,mal_rdt_b_hf,mal_ttal_a_chw,mal_ttal_a_hf,mal_ttal_b_chw,mal_ttal_b_hf,mal_ttas_a_chw,mal_ttas_a_hf,mal_ttas_b_chw,mal_ttas_b_hf,tot_htz_a_chw,tot_htz_a_hf,tot_htz_b_chw,tot_htz_b_hf,tot_rdt_a_chw,tot_rdt_a_hf,tot_rdt_b_chw,tot_rdt_b_hf,tot_a_chw,tot_a_hf,tot_b_chw,tot_b_hf,len
2014,1,1,2014W1,Magude-Sede,cs_magude,,,,,,,,,16,20,18,79,,,,,,,,,,,,,20,250,37,375,20,600,64,850,6
2014,1,1,2014W1,Facazissa,cs_facazissa,,,,,,,,,1,0,21,0,,,,,,,,,,,,,1,0,35,0,1,0,48,0,6
2014,1,1,2014W1,Moine,cs_moine,,,,,,,,,,0,,7,,,,,,,,,,,,,,1,,12,,15,,55,6
2014,1,1,2014W1,Motaze,cs_motaze,,,,,,,,,1,14,1,56,,,,,,,,,,,,,20,30,24,125,40,91,80,287,6
2014,1,1,2014W1,Panjane,cs_panjane,,,,,,,,,0,0,0,11,,,,,,,,,,,,,0,5,0,23,0,32,1,72,6
2014,1,1,2014W1,Mahel,cs_mahel,,,,,,,,,1,0,4,1,,,,,,,,,,,,,3,10,12,15,9,15,21,26,6
2014,1,1,2014W1,Chicutso,cs_chicutso,,,,,,,,,,0,,2,,,,,,,,,,,,,,1,,7,,4,,20,6
2014,1,1,2014W1,Mapulanguene,cs_mapulanguene,,,,,,,,,0,2,0,5,,,,,,,,,,,,,0,7,0,16,0,15,0,34,6
2014,1,1,2014W1,Chichuco,cs_chichuco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2014,1,1,2014W1,Captine,cs_caputine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
